Date: Sun Oct 08 20:13:35 BST 2017Host address: 127.0.0.1, Port: 54788; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:13:35 BST 2017Host address: 127.0.0.1, Port: 54792; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:13:57 BST 2017Host address: 127.0.0.1, Port: 54794; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:13:57 BST 2017Host address: 127.0.0.1, Port: 54798; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:13:59 BST 2017Host address: 127.0.0.1, Port: 54800; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:13:59 BST 2017Host address: 127.0.0.1, Port: 54802; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:14:00 BST 2017Host address: 127.0.0.1, Port: 54804; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:14:00 BST 2017Host address: 127.0.0.1, Port: 54806; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:14:01 BST 2017Host address: 127.0.0.1, Port: 54808; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:14:01 BST 2017Host address: 127.0.0.1, Port: 54810; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:14:20 BST 2017Host address: 127.0.0.1, Port: 54820; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:14:20 BST 2017Host address: 127.0.0.1, Port: 54822; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:16:21 BST 2017Host address: 127.0.0.1, Port: 54830; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:16:21 BST 2017Host address: 127.0.0.1, Port: 54832; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:16:21 BST 2017Host address: 127.0.0.1, Port: 54834; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:22:15 BST 2017Host address: 127.0.0.1, Port: 54962; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:22:15 BST 2017Host address: 127.0.0.1, Port: 54964; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:22:15 BST 2017Host address: 127.0.0.1, Port: 54966; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
Date: Sun Oct 08 20:22:15 BST 2017Host address: 127.0.0.1, Port: 54968; Local address: /127.0.0.1, Local port: 45689; Location: location Failure - incorrect usage of API, probably called from 127.0.0.1
